date,field,treatment,group,meas,leaf,chl,flav,anth,nbi
2025-07-21,porter,Treatment,1,25,leaf1,42.899,0.657,0.344,65.32
2025-07-21,porter,Treatment,1,26,leaf2,43.251,1.136,0.238,38.09
2025-07-21,porter,Treatment,1,23,leaf1,52.171,NA,0,NA
2025-07-21,porter,Treatment,1,24,leaf2,52.219,1.404,0.26,37.18
2025-07-21,porter,Treatment,1,31,leaf1,35.148,0.361,0.104,97.49
2025-07-21,porter,Treatment,1,32,leaf2,53.893,0.918,0.289,58.72
2025-07-21,porter,Treatment,1,35,leaf1,44.268,0.524,0.326,84.42
2025-07-21,porter,Treatment,1,36,leaf2,41.837,1.121,0.073,37.33
2025-07-21,porter,Treatment,1,75,leaf1,41.797,0.432,0.283,96.81
2025-07-21,porter,Treatment,1,76,leaf2,43.91,1.152,0.028,38.1
2025-07-21,porter,Treatment,1,77,leaf1,44.029,NA,0.164,NA
2025-07-21,porter,Treatment,1,78,leaf2,40.506,1.465,0.176,27.64
2025-07-21,porter,Treatment,1,79,leaf1,48.012,0.78,0.331,61.56
2025-07-21,porter,Treatment,1,80,leaf2,54.622,1.104,0.299,49.46
2025-07-21,porter,Treatment,1,81,leaf1,33.339,0.372,0.379,89.59
2025-07-21,porter,Treatment,1,82,leaf2,52.515,0.871,0.327,60.28
2025-07-21,porter,Treatment,1,83,leaf1,33.405,NA,0,NA
2025-07-21,porter,Treatment,1,84,leaf2,46.329,1.244,0.318,37.23
2025-07-21,porter,Treatment,1,93,leaf1,41.749,0.986,0.337,42.36
2025-07-21,porter,Treatment,1,94,leaf2,51.453,1.207,0.354,42.62
2025-07-21,porter,Treatment,1,85,leaf1,42.023,0.463,0.327,90.68
2025-07-21,porter,Treatment,1,86,leaf2,45.493,1.12,0.318,40.63
2025-07-21,porter,Treatment,1,95,leaf1,46.946,0.336,0.334,139.52
2025-07-21,porter,Treatment,1,96,leaf2,50.131,1.227,0.285,40.87
2025-07-21,porter,Treatment,1,87,leaf1,38.629,0.389,0.336,99.38
2025-07-21,porter,Treatment,1,88,leaf2,52.929,0.538,0.344,98.29
2025-07-21,porter,Treatment,1,91,leaf1,43.199,0.337,0.337,128.03
2025-07-21,porter,Treatment,1,92,leaf2,44.172,1.316,0.108,33.57
2025-07-21,porter,Treatment,1,89,leaf1,35.667,0.475,0.375,75.14
2025-07-21,porter,Treatment,1,90,leaf2,17.969,0.67,0.085,26.84
2025-07-21,porter,Treatment,1,97,leaf1,34.65,0.664,0.208,52.16
2025-07-21,porter,Treatment,1,98,leaf2,14.898,1.271,0.212,11.72
2025-07-21,porter,Treatment,1,99,leaf1,40.735,0.516,0.355,79
2025-07-21,porter,Treatment,1,100,leaf2,39.334,0.856,0.151,45.94
2025-07-21,porter,Treatment,1,101,leaf1,38.376,NA,NA,NA
2025-07-21,porter,Treatment,1,102,leaf2,45.01,1.572,0.323,28.63
2025-07-21,porter,Treatment,1,104,leaf1,27.449,0.322,0.438,85.22
2025-07-21,porter,Treatment,1,105,leaf2,52.035,1.057,0.29,49.25
2025-07-21,porter,Treatment,1,106,leaf1,45.95,0.551,0.353,83.39
2025-07-21,porter,Treatment,1,107,leaf2,46.237,1.318,0.04,35.07
2025-07-21,porter,Treatment,1,108,leaf1,46.968,0.551,0.326,85.21
2025-07-21,porter,Treatment,1,109,leaf2,48.332,1.127,0.306,42.87
2025-07-21,porter,Treatment,1,110,leaf1,32.952,NA,0.389,NA
2025-07-21,porter,Treatment,1,111,leaf2,37.146,1.362,0.292,27.27
2025-07-21,porter,Treatment,1,112,leaf1,41.951,0.456,0.356,92.02
2025-07-21,porter,Treatment,1,113,leaf2,52.818,0.614,0.346,85.97
2025-07-21,porter,Treatment,1,114,leaf1,24.036,0.357,0.349,67.42
2025-07-21,porter,Treatment,1,115,leaf2,42.205,NA,0.242,NA
2025-07-21,porter,Treatment,1,116,leaf1,45.496,0.604,0.341,75.35
2025-07-21,porter,Treatment,1,117,leaf2,51.641,1.245,0.329,41.48
2025-07-21,porter,Treatment,1,124,leaf1,36.739,0.374,0.396,98.31
