,Field,Dataset,Product,Obj__Id,Moisture__,Yield
2071,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2071,30.4,265.8249
2072,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2072,30.5,255.6378
2073,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2073,30.1,265.3782
2074,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2074,30.6,241.074
2075,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2075,30.6,245.066
2076,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2076,30.2,246.1083
2077,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2077,30.2,247.0032
2078,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2078,30.2,243.5867
2079,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2079,30.7,252.5135
2080,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2080,30.3,253.8377
2081,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2081,30.4,238.1211
2082,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2082,30.2,257.7316
2083,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2083,29.9,242.932
2084,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2084,30.5,241.3699
2085,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2085,31.8,239.802
2086,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2086,31.7,232.6738
2087,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2087,30.4,247.4992
2088,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2088,30,250.8643
2089,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2089,30.5,245.4452
2090,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2090,30.1,241.93
2091,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2091,30.1,241.93
2092,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2092,30.1,240.2263
2093,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2093,30.4,267.0973
2094,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2094,29.6,252.104
2095,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2095,30.4,248.3375
2096,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2096,30.4,244.3498
2097,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2097,29.4,250.5735
2098,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2098,30.2,254.8692
2099,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2099,29.8,260.2832
2100,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2100,30.5,272.3058
2101,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2101,30.3,260.7458
2102,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2102,30.4,283.4175
2103,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2103,30.3,263.6638
2104,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2104,29.8,274.4769
2105,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2105,29.5,269.6615
2106,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2106,29.4,272.3645
2107,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2107,29.5,278.0103
2108,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2108,29.8,252.7229
2109,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2109,30.6,252.9408
2110,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2110,30.6,230.385
2111,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2111,30.5,232.345
2112,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2112,30.6,223.3979
2113,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2113,29.5,232.4094
2114,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2114,29.2,238.1498
2115,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2115,29.4,241.73
2116,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2116,30,240.9822
2117,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2117,31.1,231.1323
2118,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2118,30.9,235.1548
2119,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2119,30.2,221.7642
2120,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2120,30.1,242.5458
2121,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2121,29.6,238.8807
2122,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2122,30.2,233.6012
2123,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2123,29.7,238.0852
2124,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2124,29.4,230.2615
2125,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2125,29.9,222.4214
2126,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2126,29.8,228.5992
2127,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2127,29.8,238.4604
2128,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2128,29.5,235.3805
2129,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2129,29.7,259.1
2130,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2130,29.1,258.3713
2131,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2131,29.7,242.3706
2132,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2132,29.3,240.7809
2133,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2133,29.4,238.8011
2134,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2134,29.2,231.1611
2135,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2135,29.4,222.967
2136,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2136,29.7,224.8231
2137,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2137,31.1,202.0164
2138,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2138,31.2,228.0365
2139,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2139,29.8,224.8812
2140,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2140,29.5,233.85
2141,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2141,29.7,242.4315
2142,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2142,30.1,241.0389
2143,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2143,29.4,247.6446
2144,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2144,29.5,240.7561
2145,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2145,29.4,238.6031
2146,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2146,29.2,240.611
2147,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2147,29.4,261.8725
2148,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2148,29.3,258.5672
2149,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2149,28.8,265.1486
2150,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2150,28.8,264.9682
2151,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2151,29.2,261.3319
2152,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2152,30.9,248.9786
2153,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2153,31.4,233.8294
2154,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2154,29.8,259.5616
2155,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2155,29.2,246.1511
2156,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2156,28.8,246.9025
2157,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2157,28.6,244.5247
2158,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2158,27.7,247.8148
2159,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2159,27.1,256.865
2160,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2160,28.5,234.3513
2161,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2161,28,237.1869
2162,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2162,29.7,210.3337
2163,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2163,30.2,237.6712
2164,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2164,28.9,233.0147
2165,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2165,28.1,256.4513
2166,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2166,27.8,251.976
2167,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2167,28.8,252.417
2168,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2168,28.3,282.8174
2169,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2169,27.4,257.7361
2170,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2170,27.9,268.6425
2171,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2171,29.4,256.286
2172,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2172,30.4,268.3215
2173,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2173,28.9,259.447
2174,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2174,28.8,261.8865
2175,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2175,28.3,253.577
2176,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2176,28.4,244.8994
2177,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2177,28.8,268.0403
2178,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2178,29.2,253.4281
2179,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2179,30.8,246.449
2180,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2180,31.3,238.4437
2181,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2181,29.2,250.6837
2182,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2182,30.5,246.2114
2183,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2183,30,262.4013
2184,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2184,29.7,243.6264
2185,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2185,30,250.903
2186,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2186,31,254.5105
2187,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2187,30.6,246.5041
2188,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2188,30.6,246.5041
2189,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2189,30.6,241.7425
2190,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2190,30,261.4921
2191,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2191,29.7,257.1462
2192,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2192,29.1,285.3648
2193,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2193,29.1,266.3231
2194,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2194,28.7,259.4976
2195,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2195,28.4,292.4082
2196,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2196,28.4,272.0732
2197,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2197,28.8,262.5205
2198,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2198,30.7,253.1634
2199,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2199,29.7,261.0284
2200,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2200,28.3,256.5247
2201,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2201,28.3,266.1512
2202,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2202,28.5,268.6557
2203,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2203,28.3,273.7125
2204,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2204,28.5,268.2647
2205,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2205,27.7,276.9718
2206,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2206,27.5,256.9708
2207,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2207,27.5,256.9708
2208,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2208,27.5,251.4046
2209,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2209,27.4,229.8615
2210,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2210,27.2,219.4809
2211,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2211,27.2,170.244
2212,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2212,27.5,199.9419
2213,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2213,28.7,171.4834
2214,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2214,28.1,159.2106
2215,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2215,26.5,144.5574
2216,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2216,26.1,169.0286
2217,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2217,26,150.4495
2218,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2218,27,143.4469
2219,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2219,27.2,151.4442
2220,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2220,26.6,145.9095
2221,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2221,26.6,145.6996
2222,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2222,26.6,145.6996
2223,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2223,26.3,146.9473
2224,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2224,27.4,120.1958
2225,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2225,28.6,122.9704
2226,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2226,28.5,170.3419
2227,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2227,27.5,179.0122
2228,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2228,27.2,178.552
2229,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2229,29.2,164.4642
2230,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2230,29.8,193.1325
2231,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2231,27.2,149.7909
2232,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2232,27.1,182.6382
2233,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2233,27.4,73.5858
2234,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2234,28.4,46.945
2235,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2235,29.7,47.7304
2236,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2236,30,46.2929
2237,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2237,30.3,84.442
2238,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2238,27.3,86.2153
2239,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2239,27.4,84.1432
2240,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2240,30.3,84.1065
2241,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2241,31,87.7368
2242,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2242,31.6,91.6991
2243,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2243,30.6,107.627
2244,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2244,30.7,142.9138
2245,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2245,32.4,135.6297
2246,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2246,32.5,19.5486
2247,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2247,33.4,160.9329
2248,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2248,33.4,176.6535
2249,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2249,33.6,98.5112
2250,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2250,33.6,73.7027
2251,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2251,33.3,101.3756
2252,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2252,29.8,121.4692
2253,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2253,29.8,141.3512
2254,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2254,31.2,100.9899
2255,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2255,31.7,87.0936
2256,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2256,30.9,70.0895
2257,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2257,29.7,105.3829
2258,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2258,31.2,75.5105
2259,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2259,32.2,64.5979
2260,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2260,32.5,120.3379
2261,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2261,30.5,80.1403
2262,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2262,30.5,108.364
2263,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2263,31.7,68.8427
2264,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2264,32.4,39.6943
2265,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2265,32.8,20.6723
2266,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2266,32.7,23.6705
2267,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2267,31.5,16.1867
2268,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2268,32.3,18.0071
2269,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2269,33,27.9062
2270,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2270,33.3,11.2225
2271,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2271,33.7,18.0041
2272,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2272,34,27.5829
2273,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2273,34.4,37.468
2274,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2274,32.4,35.3013
2275,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2275,31.8,28.8899
2276,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2276,32.5,18.9316
2277,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2277,33,17.8111
2278,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2278,33.3,38.6615
2279,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2279,33.6,66.075
2280,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2280,32.2,82.7467
2281,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2281,29.3,118.3249
2282,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2282,30.7,161.909
2283,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2283,31.8,205.6035
2284,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2284,32.4,209.8569
2285,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2285,30.1,187.7941
2286,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2286,28.6,181.4742
2287,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2287,30.1,169.9057
2288,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2288,30.5,171.2494
2289,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2289,30.9,202.721
2290,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2290,28.8,206.5855
2291,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2291,28.6,206.0114
2292,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2292,28.3,210.6706
2293,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2293,30,218.2537
2294,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2294,29.9,198.2252
2295,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2295,28.1,146.6472
2296,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2296,27.4,193.1361
2297,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2297,29.1,198.1731
2298,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2298,29.5,214.4615
2299,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2299,27.4,219.0796
2300,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2300,27.3,223.6203
2301,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2301,27.3,209.1797
2302,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2302,29,191.2842
2303,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2303,29.6,188.3356
2304,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2304,27.6,179.4426
2305,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2305,26.7,208.7149
2306,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2306,27.2,227.2859
2307,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2307,28.2,249.5621
2308,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2308,28.8,214.189
2309,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2309,26.8,199.6765
2310,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2310,26.6,224.5904
2311,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2311,26.7,225.2298
2312,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2312,28.2,231.5581
2313,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2313,29.3,213.8343
2314,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2314,27.7,263.7476
2315,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2315,27.7,217.1289
2316,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2316,27.6,240.049
2317,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2317,28.9,249.1852
2318,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2318,28.7,242.1223
2319,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2319,28.8,242.3044
2320,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2320,28.3,235.0257
2321,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2321,27.9,261.5189
2322,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2322,30,241.6012
2323,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2323,31,270.2552
2324,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2324,29.2,260.6579
2325,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2325,28.5,268.9234
2326,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2326,29.2,232.7329
2327,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2327,29.4,240.6794
2328,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2328,29.3,240.5474
2329,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2329,30.8,215.2151
2330,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2330,32,224.0086
2331,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2331,31.3,212.77
2332,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2332,29.9,234.6481
2333,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2333,29.5,220.2064
2334,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2334,30,219.7339
2335,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2335,31.3,227.4145
2336,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2336,30.7,242.1516
2337,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2337,30.1,246.687
2338,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2338,30.5,232.9011
2339,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2339,31,233.197
2340,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2340,32,227.3906
2341,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2341,32.5,238.5323
2342,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2342,30.9,241.7187
2343,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2343,29.1,271.3252
2344,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2344,29.8,282.7592
2345,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2345,30.5,300.3452
2346,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2346,30.1,294.9231
2347,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2347,29.2,274.7044
2348,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2348,28.1,309.4229
2349,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2349,29.5,265.3721
2350,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2350,30.4,270.9024
2351,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,2351,29.2,267.1236
