,Field,Dataset,Product,Obj__Id,Moisture__,Yield
67,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,67,31.2,227.8164
68,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,68,31.9,195.0283
69,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,69,31.3,187.2549
70,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,70,30.2,237.2579
71,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,71,29.7,237.741
72,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,72,29.7,252.268
73,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,73,30,239.9966
74,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,74,31.7,224.065
75,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,75,31.5,233.2715
76,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,76,30.7,228.5948
77,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,77,30.4,224.144
78,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,78,29.9,181.5459
79,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,79,31.3,199.8716
80,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,80,32,162.3655
81,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,81,30.2,177.8974
82,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,82,29.9,172.2358
83,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,83,29.9,188.3167
84,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,84,31.4,190.0993
85,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,85,32.3,188.6577
86,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,86,31.5,195.7522
87,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,87,30.8,194.5424
88,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,88,30.7,217.6742
89,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,89,30.8,185.4189
90,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,90,31.7,207.3155
91,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,91,31.8,193.6683
92,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,92,31.3,221.076
93,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,93,31,237.3315
94,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,94,30.7,234.3573
95,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,95,30.4,243.9809
96,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,96,31.9,233.0979
97,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,97,32.2,242.4903
98,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,98,30.5,227.9406
99,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,99,30.9,242.6875
100,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,100,30.6,242.803
101,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,101,30.7,240.4036
102,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,102,32.2,225.3222
103,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,103,32.7,212.8817
104,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,104,30.8,220.1869
105,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,105,30.2,226.2124
106,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,106,30.3,238.2795
107,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,107,30.3,200.159
108,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,108,31.2,213.1877
109,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,109,32.4,180.4085
110,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,110,32.4,182.7366
111,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,111,30.9,173.0255
112,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,112,29.4,172.7192
113,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,113,29.8,168.3214
114,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,114,31.5,173.2903
115,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,115,31.5,170.7702
116,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,116,30.3,173.376
117,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,117,29.1,152.0433
118,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,118,30.9,135.799
119,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,119,32.1,137.9493
120,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,120,32.7,127.3334
121,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,121,30.4,120.7393
122,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,122,29.7,134.5615
123,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,123,30.4,161.5703
124,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,124,31.4,152.8756
125,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,125,31.8,135.4827
126,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,126,30.2,179.5969
127,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,127,29.4,171.2882
128,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,128,31.1,169.5491
129,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,129,31.9,181.6476
130,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,130,30.4,172.0824
131,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,131,29.4,192.5913
132,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,132,30.3,210.2464
133,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,133,31.7,217.3735
134,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,134,30.4,217.2776
135,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,135,29.3,231.0576
136,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,136,29.3,215.4732
137,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,137,31.4,208.7923
138,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,138,31.8,207.8561
139,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,139,29.4,220.8934
140,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,140,30.6,220.401
141,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,141,31.7,232.5157
142,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,142,31.9,245.3927
143,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,143,30.4,222.1191
144,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,144,30.5,244.7825
145,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,145,31.5,226.4495
146,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,146,31.8,213.6328
147,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,147,30.7,199.2649
148,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,148,30.8,183.0709
149,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,149,31.6,170.0656
150,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,150,32.4,154.7333
151,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,151,30.9,166.9401
152,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,152,31.1,135.0043
153,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,153,32.4,122.2004
154,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,154,33.5,98.6298
155,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,155,33.6,109.0026
156,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,156,31.6,62.9142
157,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,157,31.4,72.1406
158,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,158,32.5,44.231
159,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,159,32.9,18.8611
160,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,160,33.4,26.2858
161,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,161,33.5,16.5881
162,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,162,31.2,24.183
163,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,163,32.2,11.1718
164,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,164,33.2,24.0107
165,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,165,33.9,30.9088
166,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,166,34.3,21.0475
167,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,167,34.5,45.8687
168,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,168,31.6,66.1834
169,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,169,31.2,89.4098
170,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,170,32.3,94.151
171,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,171,32.7,125.4801
172,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,172,30.8,150.2851
173,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,173,29.5,158.7736
174,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,174,30.6,149.18
175,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,175,31.9,129.0032
176,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,176,31.9,113.1971
177,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,177,29.8,105.5665
178,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,178,30.8,121.2424
179,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,179,31.9,116.6531
180,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,180,30.9,125.7014
181,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,181,28.9,141.3233
182,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,182,30.3,144.1701
183,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,183,31.3,155.3772
184,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,184,30.3,157.5625
185,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,185,29.1,165.1655
186,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,186,30,155.7674
187,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,187,30.9,168.1063
188,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,188,29.6,157.3177
189,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,189,28.8,173.5077
190,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,190,29.3,178.1661
191,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,191,30.4,196.3046
192,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,192,29.1,201.9519
193,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,193,29.4,210.5427
194,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,194,29.2,200.7417
195,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,195,30.8,183.2769
196,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,196,31.2,181.4363
197,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,197,29.9,174.8199
198,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,198,29.2,172.4548
199,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,199,30.3,155.7114
200,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,200,31.2,133.3479
201,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,201,29.9,106.2489
202,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,202,30.1,99.3665
203,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,203,31.9,101.4328
204,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,204,32.7,93.8239
205,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,205,30.7,103.361
206,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,206,29.9,114.8147
207,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,207,31.4,125.9461
